id,firstname,surname,born,died,bornCountry,bornCountryCode,bornCity,diedCountry,diedCountryCode,diedCity,gender,year,category,overallMotivation,share,motivation,name,city,country
885,Randy W.,Schekman,12/30/1948,0000-00-00,USA,US,"St. Paul, MN",,,,male,2013,medicine,,3,"""for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells""",University of California,"Berkeley, CA",USA
884,James E.,Rothman,11/3/1950,0000-00-00,USA,US,"Haverhill, MA",,,,male,2013,medicine,,3,"""for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells""",Yale University,"New Haven, CT",USA
886,Thomas C.,S���dhof,12/22/1955,0000-00-00,Germany,DE,G_ttingen,,,,male,2013,medicine,,3,"""for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells""",Stanford University,"Stanford, CA",USA
774,Richard,Axel,7/2/1946,0000-00-00,USA,US,"New York, NY",,,,male,2004,medicine,,2,"""for their discoveries of odorant receptors and the organization of the olfactory system""",Columbia University,"New York, NY",USA
813,Oliver,Smithies,6/23/1925,0000-00-00,United Kingdom,GB,Halifax,,,,male,2007,medicine,,3,"""for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells""",University of North Carolina,"Chapel Hill, NC",USA
811,Mario R.,Capecchi,10/6/1937,0000-00-00,Italy,IT,Verona,,,,male,2007,medicine,,3,"""for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells""",University of Utah,"Salt Lake City, UT",USA
448,Richard J.,Roberts,9/6/1943,0000-00-00,United Kingdom,GB,Derby,,,,male,1993,medicine,,2,"""for their discoveries of split genes""",New England Biolabs,"Beverly, MA",USA
449,Phillip A.,Sharp,6/6/1944,0000-00-00,USA,US,"Falmouth, KY",,,,male,1993,medicine,,2,"""for their discoveries of split genes""","Massachusetts Institute of Technology (MIT), Center for Cancer Research","Cambridge, MA",USA
338,Herbert Spencer,Gasser,07/05/1888,5/11/1963,USA,US,"Platteville, WI",USA,US,"New York, NY",male,1944,medicine,,2,"""for their discoveries relating to the highly differentiated functions of single nerve fibres""",Rockefeller Institute for Medical Research,"New York, NY",USA
337,Joseph,Erlanger,01/05/1874,12/5/1965,USA,US,"San Francisco, CA",USA,US,"St. Louis, MO",male,1944,medicine,,2,"""for their discoveries relating to the highly differentiated functions of single nerve fibres""",Washington University,"St. Louis, MO",USA
349,Edward Calvin,Kendall,03/08/1886,5/4/1972,USA,US,"South Norwalk, CT",USA,US,"Princeton, NJ",male,1950,medicine,,3,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects""",Mayo Clinic,"Rochester, MN",USA
351,Philip Showalter,Hench,02/28/1896,3/30/1965,USA,US,"Pittsburgh, PA",Jamaica,JM,Ocho Rios,male,1950,medicine,,3,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects""",Mayo Clinic,"Rochester, MN",USA
156,Horst L.,St_rmer,4/6/1949,0000-00-00,West Germany (now Germany),DE,Frankfurt-on-the-Main,,,,male,1998,physics,,3,"""for their discovery of a new form of quantum fluid with fractionally charged excitations""",Columbia University,"New York, NY",USA
157,Daniel C.,Tsui,2/28/1939,0000-00-00,China,CN,Henan,,,,male,1998,physics,,3,"""for their discovery of a new form of quantum fluid with fractionally charged excitations""",Princeton University,"Princeton, NJ",USA
155,Robert B.,Laughlin,11/1/1950,0000-00-00,USA,US,"Visalia, CA",,,,male,1998,physics,,3,"""for their discovery of a new form of quantum fluid with fractionally charged excitations""",Stanford University,"Stanford, CA",USA
274,Thomas R.,Cech,12/8/1947,0000-00-00,USA,US,"Chicago, IL",,,,male,1989,chemistry,,2,"""for their discovery of catalytic properties of RNA""",University of Colorado,"Boulder, CO",USA
